code	url	creator	created_t	created_datetime	last_modified_t	last_modified_datetime	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	categories_fr	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	labels_fr	emb_codes	emb_codes_tags	first_packaging_code_geo	cities	cities_tags	purchase_places	stores	countries	countries_tags	countries_fr	ingredients_text	traces	traces_tags	serving_size	no_nutriments	additives_n	additives	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	main_category	main_category_fr	image_url	image_small_url	energy_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	carbohydrates_100g	sugars_100g	sucrose_100g	glucose_100g	fructose_100g	lactose_100g	maltose_100g	maltodextrins_100g	starch_100g	polyols_100g	fat_100g	saturated-fat_100g	butyric-acid_100g	caproic-acid_100g	caprylic-acid_100g	capric-acid_100g	lauric-acid_100g	myristic-acid_100g	palmitic-acid_100g	stearic-acid_100g	arachidic-acid_100g	behenic-acid_100g	lignoceric-acid_100g	cerotic-acid_100g	montanic-acid_100g	melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	alpha-linolenic-acid_100g	eicosapentaenoic-acid_100g	docosahexaenoic-acid_100g	omega-6-fat_100g	linoleic-acid_100g	arachidonic-acid_100g	gamma-linolenic-acid_100g	dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	oleic-acid_100g	elaidic-acid_100g	gondoic-acid_100g	mead-acid_100g	erucic-acid_100g	nervonic-acid_100g	trans-fat_100g	cholesterol_100g	fiber_100g	sodium_100g	alcohol_100g	vitamin-a_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	carbon-footprint_100g
1159	http://world-fr.openfoodfacts.org/produit/1159		1350389575	2012-10-16T12:12:55Z	1350389575	2012-10-16T12:12:55Z																																																																																																																																			
2103	http://world-fr.openfoodfacts.org/produit/2103		1350411133	2012-10-16T18:12:13Z	1350411133	2012-10-16T18:12:13Z																																																																																																																																			
2885	http://world-fr.openfoodfacts.org/produit/2885		1361357626	2013-02-20T10:53:46Z	1361357626	2013-02-20T10:53:46Z																																																																																																																																			
22555	http://world-fr.openfoodfacts.org/produit/22555		1353254187	2012-11-18T15:56:27Z	1353254187	2012-11-18T15:56:27Z																																																																																																																																			
150127	http://world-fr.openfoodfacts.org/produit/150127		1362830041	2013-03-09T11:54:01Z	1362830041	2013-03-09T11:54:01Z																																																																																																																																			
619513	http://world-fr.openfoodfacts.org/produit/619513		1353971681	2012-11-26T23:14:41Z	1353971681	2012-11-26T23:14:41Z																																																																																																																																			
2617001	http://world-fr.openfoodfacts.org/produit/2617001		1349696430	2012-10-08T11:40:30Z	1349696430	2012-10-08T11:40:30Z																																																																																																																																			
2662001	http://world-fr.openfoodfacts.org/produit/2662001		1344706916	2012-08-11T17:41:56Z	1344706916	2012-08-11T17:41:56Z																																																																																																																																			
4014407	http://world-fr.openfoodfacts.org/produit/4014407		1362682311	2013-03-07T18:51:51Z	1362682311	2013-03-07T18:51:51Z																																																																																																																																			
5927005	http://world-fr.openfoodfacts.org/produit/5927005	laurent	1340059298	2012-06-18T22:41:38Z	1340059299	2012-06-18T22:41:39Z																																																																																																																																			
520152203	http://world-fr.openfoodfacts.org/produit/520152203		1345876782	2012-08-25T06:39:42Z	1345876782	2012-08-25T06:39:42Z																																																																																																																																			
1622990116	http://world-fr.openfoodfacts.org/produit/1622990116	malikele	1340179492	2012-06-20T08:04:52Z	1340179492	2012-06-20T08:04:52Z																																																																																																																																			
2529330020	http://world-fr.openfoodfacts.org/produit/2529330020		1359768175	2013-02-02T01:22:55Z	1359768175	2013-02-02T01:22:55Z																																																																																																																																			
8301040154	http://world-fr.openfoodfacts.org/produit/8301040154		1360590680	2013-02-11T13:51:20Z	1360590680	2013-02-11T13:51:20Z																																																																																																																																			
15497037009	http://world-fr.openfoodfacts.org/produit/15497037009		1354552978	2012-12-03T16:42:58Z	1354552978	2012-12-03T16:42:58Z																																																																																																																																			
